perception_id,participant_id,perceived_distance,weather_id,velocity_id,distance_id,velocity_ms,real_time,perceived_time,velocity_group,velocity_cat,error_ttc,ttc_bin
279,XXX_34,56.8671,night,40.0,40.0,11.11111111111111,3.6,5.1180390000000004,medium,40 km/h,1.5180390000000004,4
280,XXX_34,20.9181,night,20.0,20.0,5.555555555555555,3.6,3.7652579999999998,low,20 km/h,0.16525799999999968,4
281,XXX_34,48.291,rain,40.0,40.0,11.11111111111111,3.6,4.34619,medium,40 km/h,0.7461899999999999,4
282,XXX_34,76.9663,clear,60.0,60.0,16.666666666666668,3.5999999999999996,4.617978,high,60 km/h,1.0179780000000003,4
283,XXX_34,46.1578,night,60.0,40.0,16.666666666666668,2.4,2.769468,high,60 km/h,0.3694679999999999,2
284,XXX_34,19.8151,night,60.0,20.0,16.666666666666668,1.2,1.188906,high,60 km/h,-0.011093999999999937,1
285,XXX_34,76.2295,night,40.0,60.0,11.11111111111111,5.4,6.860655,medium,40 km/h,1.460655,5
286,XXX_34,32.9651,rain,20.0,40.0,5.555555555555555,7.2,5.933718,low,20 km/h,-1.2662820000000004,7
287,XXX_34,78.6662,rain,40.0,60.0,11.11111111111111,5.4,7.079958,medium,40 km/h,1.679958,5
288,XXX_34,34.2177,night,40.0,20.0,11.11111111111111,1.8,3.079593,medium,40 km/h,1.279593,2
289,XXX_34,148.436,rain,60.0,60.0,16.666666666666668,3.5999999999999996,8.90616,high,60 km/h,5.30616,4
290,XXX_34,42.3102,rain,20.0,60.0,5.555555555555555,10.8,7.615836000000001,low,20 km/h,-3.184164,11
291,XXX_34,20.7421,rain,20.0,20.0,5.555555555555555,3.6,3.733578,low,20 km/h,0.13357799999999997,4
292,XXX_34,29.1443,clear,60.0,20.0,16.666666666666668,1.2,1.748658,high,60 km/h,0.5486580000000001,1
293,XXX_34,43.0128,clear,40.0,20.0,11.11111111111111,1.8,3.871152,medium,40 km/h,2.0711519999999997,2
294,XXX_34,31.841,clear,20.0,20.0,5.555555555555555,3.6,5.731380000000001,low,20 km/h,2.1313800000000005,4
295,XXX_34,61.9456,rain,60.0,40.0,16.666666666666668,2.4,3.7167359999999996,high,60 km/h,1.3167359999999997,2
296,XXX_34,95.5098,clear,60.0,40.0,16.666666666666668,2.4,5.730587999999999,high,60 km/h,3.330587999999999,2
297,XXX_34,36.6984,rain,60.0,20.0,16.666666666666668,1.2,2.201904,high,60 km/h,1.001904,1
298,XXX_35,3.38067,rain,20.0,30.0,5.555555555555555,5.4,0.6085206,low,20 km/h,-4.7914794,5
299,XXX_35,14.3773,clear,60.0,30.0,16.666666666666668,1.7999999999999998,0.8626379999999999,high,60 km/h,-0.9373619999999999,2
300,XXX_35,32.0986,clear,20.0,50.0,5.555555555555555,9.0,5.777748,low,20 km/h,-3.222252,9
301,XXX_35,23.6832,night,20.0,50.0,5.555555555555555,9.0,4.262976,low,20 km/h,-4.737024,9
302,XXX_35,21.718,rain,40.0,50.0,11.11111111111111,4.5,1.95462,medium,40 km/h,-2.5453799999999998,4
303,XXX_35,10.67,night,40.0,30.0,11.11111111111111,2.7,0.9603,medium,40 km/h,-1.7397,3
304,XXX_35,37.5331,clear,60.0,70.0,16.666666666666668,4.199999999999999,2.2519859999999996,high,60 km/h,-1.9480139999999997,4
305,XXX_35,56.6595,rain,60.0,50.0,16.666666666666668,3.0,3.3995699999999998,high,60 km/h,0.39956999999999976,3
306,XXX_35,22.0181,rain,40.0,30.0,11.11111111111111,2.7,1.981629,medium,40 km/h,-0.7183710000000001,3
307,XXX_35,15.8127,night,60.0,30.0,16.666666666666668,1.7999999999999998,0.9487619999999999,high,60 km/h,-0.8512379999999999,2
308,XXX_35,22.9892,clear,40.0,30.0,11.11111111111111,2.7,2.0690280000000003,medium,40 km/h,-0.6309719999999999,3
309,XXX_35,49.2635,rain,40.0,70.0,11.11111111111111,6.3,4.433715,medium,40 km/h,-1.8662849999999995,6
310,XXX_35,92.7745,night,60.0,70.0,16.666666666666668,4.199999999999999,5.56647,high,60 km/h,1.3664700000000005,4
311,XXX_35,34.1532,rain,60.0,30.0,16.666666666666668,1.7999999999999998,2.0491919999999997,high,60 km/h,0.24919199999999986,2
312,XXX_35,30.5203,night,20.0,70.0,5.555555555555555,12.6,5.493654,low,20 km/h,-7.106345999999999,13
313,XXX_35,38.8746,clear,40.0,50.0,11.11111111111111,4.5,3.498714,medium,40 km/h,-1.001286,4
314,XXX_35,44.7632,rain,60.0,70.0,16.666666666666668,4.199999999999999,2.6857919999999997,high,60 km/h,-1.5142079999999996,4
315,XXX_35,43.7459,night,40.0,50.0,11.11111111111111,4.5,3.937131,medium,40 km/h,-0.5628690000000001,4
316,XXX_35,25.0475,rain,20.0,50.0,5.555555555555555,9.0,4.5085500000000005,low,20 km/h,-4.4914499999999995,9
317,XXX_35,32.962,night,20.0,30.0,5.555555555555555,5.4,5.933160000000001,low,20 km/h,0.5331600000000005,5
318,XXX_35,76.7605,night,40.0,70.0,11.11111111111111,6.3,6.9084449999999995,medium,40 km/h,0.6084449999999997,6
319,XXX_35,30.601,night,60.0,50.0,16.666666666666668,3.0,1.8360599999999998,high,60 km/h,-1.1639400000000002,3
320,XXX_35,59.8277,clear,60.0,50.0,16.666666666666668,3.0,3.5896619999999997,high,60 km/h,0.5896619999999997,3
321,XXX_35,45.7777,clear,20.0,70.0,5.555555555555555,12.6,8.239986,low,20 km/h,-4.360014,13
322,XXX_35,43.1278,rain,20.0,70.0,5.555555555555555,12.6,7.7630040000000005,low,20 km/h,-4.836995999999999,13
323,XXX_35,61.3926,clear,40.0,70.0,11.11111111111111,6.3,5.525334,medium,40 km/h,-0.7746659999999999,6
324,XXX_35,24.2845,clear,20.0,30.0,5.555555555555555,5.4,4.3712100000000005,low,20 km/h,-1.0287899999999999,5
325,XXX_36,26.3392,night,40.0,20.0,11.11111111111111,1.8,2.370528,medium,40 km/h,0.5705280000000001,2
326,XXX_36,67.4616,night,60.0,60.0,16.666666666666668,3.5999999999999996,4.047696,high,60 km/h,0.44769600000000054,4
327,XXX_36,57.085,clear,40.0,60.0,11.11111111111111,5.4,5.13765,medium,40 km/h,-0.2623500000000005,5
328,XXX_36,41.983,rain,40.0,40.0,11.11111111111111,3.6,3.77847,medium,40 km/h,0.1784699999999999,4
329,XXX_36,43.3225,night,20.0,60.0,5.555555555555555,10.8,7.79805,low,20 km/h,-3.001950000000001,11
330,XXX_36,59.1583,rain,60.0,60.0,16.666666666666668,3.5999999999999996,3.5494979999999994,high,60 km/h,-0.05050200000000027,4
331,XXX_36,34.4533,rain,20.0,40.0,5.555555555555555,7.2,6.201594,low,20 km/h,-0.9984060000000001,7
332,XXX_36,16.9903,rain,20.0,20.0,5.555555555555555,3.6,3.0582540000000003,low,20 km/h,-0.5417459999999998,4
333,XXX_36,30.3945,night,60.0,40.0,16.666666666666668,2.4,1.82367,high,60 km/h,-0.57633,2
334,XXX_36,24.0199,clear,20.0,40.0,5.555555555555555,7.2,4.323582,low,20 km/h,-2.876418,7
335,XXX_36,16.8813,rain,40.0,20.0,11.11111111111111,1.8,1.519317,medium,40 km/h,-0.280683,2
336,XXX_36,45.0383,rain,60.0,40.0,16.666666666666668,2.4,2.702298,high,60 km/h,0.30229799999999996,2
337,XXX_36,34.9084,clear,40.0,40.0,11.11111111111111,3.6,3.141756,medium,40 km/h,-0.4582440000000001,4
338,XXX_36,21.7631,rain,60.0,20.0,16.666666666666668,1.2,1.305786,high,60 km/h,0.10578599999999994,1
339,XXX_36,65.5023,rain,40.0,60.0,11.11111111111111,5.4,5.895207000000001,medium,40 km/h,0.4952070000000006,5
340,XXX_36,56.2107,night,40.0,60.0,11.11111111111111,5.4,5.058963,medium,40 km/h,-0.34103700000000003,5
341,XXX_36,21.4081,night,20.0,20.0,5.555555555555555,3.6,3.8534580000000003,low,20 km/h,0.2534580000000002,4
342,XXX_36,48.1968,night,40.0,40.0,11.11111111111111,3.6,4.337712000000001,medium,40 km/h,0.7377120000000006,4
343,XXX_36,31.9102,night,20.0,40.0,5.555555555555555,7.2,5.743836,low,20 km/h,-1.4561640000000002,7
344,XXX_36,20.0338,clear,20.0,20.0,5.555555555555555,3.6,3.606084,low,20 km/h,0.006083999999999978,4
345,XXX_36,62.5132,clear,60.0,60.0,16.666666666666668,3.5999999999999996,3.7507919999999997,high,60 km/h,0.15079200000000004,4
346,XXX_36,42.3201,rain,20.0,60.0,5.555555555555555,10.8,7.617617999999999,low,20 km/h,-3.1823820000000014,11
347,XXX_36,43.1915,clear,60.0,40.0,16.666666666666668,2.4,2.59149,high,60 km/h,0.19148999999999994,2
